,Region,Category,Level,Place,Player,Time,Run Date,ID,Date
0,NTSC,3 Lap,Sunny Beach,1.0,Shibbypod,63.186,2017-12-01,y67o220m,2022-01-01
1,NTSC,3 Lap,Sunny Beach,2.0,MDK1,63.273,2021-12-11,z5voqwdm,2022-01-01
2,NTSC,3 Lap,Sunny Beach,3.0,MetalHead,63.304,2019-10-25,m7qxj5wz,2022-01-01
3,NTSC,3 Lap,Sunny Beach,4.0,RyanLockwood,63.326,2015-11-05,7z0r289z,2022-01-01
4,NTSC,3 Lap,Sunny Beach,5.0,doctorfeesh,63.358,2020-12-29,mk8x2p1m,2022-01-01
5,NTSC,3 Lap,Sunny Beach,6.0,mo_moe,63.456,2017-09-22,mrqng5gy,2022-01-01
6,NTSC,3 Lap,Sunny Beach,7.0,Game,63.56,2019-03-24,y411r63y,2022-01-01
7,NTSC,3 Lap,Sunny Beach,8.0,the_androgyne,63.597,2018-06-29,yl44evkm,2022-01-01
8,NTSC,3 Lap,Sunny Beach,9.0,eToast,63.715,2020-07-17,yd5lwpwm,2022-01-01
9,NTSC,3 Lap,Sunny Beach,10.0,meauxdal,63.722,2017-12-03,mekewe2m,2022-01-01
10,NTSC,3 Lap,Sunny Beach,11.0,misuken,63.763,1999-06-03,8y89q6wm,2022-01-01
11,NTSC,3 Lap,Sunny Beach,12.0,bobakanoosh55555,63.776,2020-02-06,z1j7nvrz,2022-01-01
12,NTSC,3 Lap,Sunny Beach,13.0,quickpersonsIND,63.796,2019-06-18,znr4v67y,2022-01-01
13,NTSC,3 Lap,Sunny Beach,14.0,NickWarner,63.807,2021-07-09,z1r41pgm,2022-01-01
14,NTSC,3 Lap,Sunny Beach,15.0,AS_Money,63.814,2019-07-01,yd662dwz,2022-01-01
15,NTSC,3 Lap,Sunny Beach,16.0,Illudude,63.821,2014-12-10,8m79g09y,2022-01-01
16,NTSC,3 Lap,Sunny Beach,17.0,MyOhMyPancakes,63.848,2021-01-04,zpljqkvm,2022-01-01
17,NTSC,3 Lap,Sunny Beach,18.0,analogism,63.878,2015-12-22,kz5r41dy,2022-01-01
18,NTSC,3 Lap,Sunny Beach,19.0,RyanWarner,63.924,2021-12-23,y48w8qnm,2022-01-01
19,NTSC,3 Lap,Sunny Beach,20.0,Bert86,63.968,2019-06-19,yj34ol7z,2022-01-01
20,NTSC,3 Lap,Sunny Beach,21.0,KoiIroHoshi,64.002,2017-11-01,zn8vn27z,2022-01-01
21,NTSC,3 Lap,Sunny Beach,22.0,GhillieGuide,64.386,2017-05-27,yjk3303m,2022-01-01
22,NTSC,3 Lap,Sunny Beach,23.0,andypanther,64.44,2020-07-10,m7go4o4m,2022-01-01
23,NTSC,3 Lap,Sunny Beach,24.0,RSR,64.56,2019-11-07,yd6g460z,2022-01-01
24,NTSC,3 Lap,Sunny Beach,25.0,th3ch0s3n0n3,64.622,2021-04-13,yv14dl8y,2022-01-01
25,NTSC,3 Lap,Sunny Beach,26.0,GooglyEyes,64.727,2019-06-06,y21327wz,2022-01-01
26,NTSC,3 Lap,Sunny Beach,27.0,Maple_Hood,64.823,2014-03-08,7z0e5r9m,2022-01-01
27,NTSC,3 Lap,Sunny Beach,28.0,ZubyDoo77,64.874,2020-11-06,z09oog8z,2022-01-01
28,NTSC,3 Lap,Sunny Beach,29.0,CD_84,64.903,2020-12-31,z534jvgy,2022-01-01
29,NTSC,3 Lap,Sunny Beach,30.0,kirch,64.928,2018-07-05,zg7kngez,2022-01-01
30,NTSC,3 Lap,Sunny Beach,31.0,HeroProc,64.942,2017-01-14,jy9gn72m,2022-01-01
31,NTSC,3 Lap,Sunny Beach,32.0,fed338,64.983,2017-12-19,yjk22dom,2022-01-01
32,NTSC,3 Lap,Sunny Beach,33.0,Caseywho,64.998,2018-11-16,zn4qg08m,2022-01-01
33,NTSC,3 Lap,Sunny Beach,34.0,EliminatorJr,65.09,2018-11-20,m7p21v4m,2022-01-01
34,NTSC,3 Lap,Sunny Beach,35.0,PvtCb,65.162,2020-11-09,y4e80ndm,2022-01-01
35,NTSC,3 Lap,Sunny Beach,36.0,nealclay,65.252,2014-08-13,8m7988ey,2022-01-01
36,NTSC,3 Lap,Sunny Beach,37.0,Bace,65.304,2018-01-07,m793ldey,2022-01-01
37,NTSC,3 Lap,Sunny Beach,38.0,Ohme,65.382,2015-02-19,8yvj8p6y,2022-01-01
38,NTSC,3 Lap,Sunny Beach,39.0,ShibbyWife,65.413,2017-09-16,mk45o25y,2022-01-01
39,NTSC,3 Lap,Sunny Beach,40.0,Speedruntrainer,65.459,2015-11-15,6yj5j7gm,2022-01-01
40,NTSC,3 Lap,Sunny Beach,41.0,AdomHaMez,65.764,2021-12-03,zgdnj7dz,2022-01-01
41,NTSC,3 Lap,Sunny Beach,42.0,Tetsuo,65.785,2018-07-05,ywppoxpz,2022-01-01
42,NTSC,3 Lap,Sunny Beach,43.0,raybc123,65.898,2016-01-12,jy9l97ky,2022-01-01
43,NTSC,3 Lap,Sunny Beach,44.0,piddythebat,65.977,2017-08-06,z1389djm,2022-01-01
44,NTSC,3 Lap,Sunny Beach,45.0,P-Nut91,66.316,2018-07-07,zn44dxlm,2022-01-01
45,NTSC,3 Lap,Sunny Beach,46.0,DeeEddy,66.733,2018-03-20,y45v1wkm,2022-01-01
46,NTSC,3 Lap,Sunny Beach,47.0,KingSolomon,67.459,2018-03-17,y97go3km,2022-01-01
47,NTSC,3 Lap,Sunny Beach,48.0,VerociousVee,67.566,2020-03-25,mk3l543z,2022-01-01
48,NTSC,3 Lap,Sunny Beach,49.0,hotelmario69,69.604,2018-01-03,zgn8deny,2022-01-01
49,NTSC,3 Lap,Sunny Beach,50.0,Mahrla,76.85,2011-05-26,zq6nqo5y,2022-01-01
50,NTSC,3 Lap,Sunny Beach,51.0,Ipsum86,77.642,2019-10-12,y81x32xz,2022-01-01
51,NTSC,3 Lap,Sunny Beach,52.0,JimB,78.202,2019-07-07,yd65qv0z,2022-01-01
52,NTSC,3 Lap,Sunny Beach,53.0,DJ-Cat,78.25,2020-07-05,yv6vr36z,2022-01-01
53,NTSC,3 Lap,Sunny Beach,54.0,Lucehboii,78.5,2021-02-16,zx6796kz,2022-01-01
54,NTSC,3 Lap,Sunny Beach,55.0,R-J-Clapham,78.523,2019-11-19,zgke2ejy,2022-01-01
55,NTSC,3 Lap,Sunny Beach,56.0,PuggyWuggy,78.622,2020-12-28,y6r817jy,2022-01-01
56,NTSC,3 Lap,Sunny Beach,57.0,Recurv2,79.182,2021-02-01,zx664qgz,2022-01-01
57,NTSC,1 Lap,Sunny Beach,1.0,Shibbypod,20.096,2016-02-14,dy4q7r2m,2022-01-01
58,NTSC,1 Lap,Sunny Beach,2.0,MDK1,20.182,2021-12-25,york0njy,2022-01-01
59,NTSC,1 Lap,Sunny Beach,3.0,doctorfeesh,20.195,2020-07-02,y25k3vjy,2022-01-01
60,NTSC,1 Lap,Sunny Beach,4.0,MetalHead,20.213,2018-11-06,mr8rk02y,2022-01-01
61,NTSC,1 Lap,Sunny Beach,5.0,the_androgyne,20.221,2018-06-29,zn440l9m,2022-01-01
62,NTSC,1 Lap,Sunny Beach,6.0,Game,20.259,2017-09-22,y67910jm,2022-01-01
63,NTSC,1 Lap,Sunny Beach,7.0,quickpersonsIND,20.294,2019-01-16,z119n27z,2022-01-01
64,NTSC,1 Lap,Sunny Beach,8.0,meauxdal,20.31,2017-11-30,zgn2q20y,2022-01-01
65,NTSC,1 Lap,Sunny Beach,8.0,AS_Money,20.31,2019-12-22,mexwn73z,2022-01-01
66,NTSC,1 Lap,Sunny Beach,9.0,NickWarner,20.315,2021-07-09,zxgr47qy,2022-01-01
67,NTSC,1 Lap,Sunny Beach,10.0,Bert86,20.368,2019-04-29,ywp99k3z,2022-01-01
68,NTSC,1 Lap,Sunny Beach,11.0,misuken,20.38,1999-06-03,2ywp1r2z,2022-01-01
69,NTSC,1 Lap,Sunny Beach,11.0,Illudude,20.38,2014-12-10,0zn8k17z,2022-01-01
70,NTSC,1 Lap,Sunny Beach,12.0,MyOhMyPancakes,20.415,2020-12-02,z53kg0gy,2022-01-01
71,NTSC,1 Lap,Sunny Beach,13.0,KoiIroHoshi,20.429,2017-11-01,yl968dny,2022-01-01
72,NTSC,1 Lap,Sunny Beach,14.0,eToast,20.451,2020-07-17,m7gowj0m,2022-01-01
73,NTSC,1 Lap,Sunny Beach,15.0,mo_moe,20.463,2017-01-27,1zxp51qy,2022-01-01
74,NTSC,1 Lap,Sunny Beach,15.0,bobakanoosh55555,20.463,2019-07-18,yojkg8dm,2022-01-01
75,NTSC,1 Lap,Sunny Beach,16.0,RyanWarner,20.475,2021-12-16,yjx4rxdz,2022-01-01
76,NTSC,1 Lap,Sunny Beach,17.0,analogism,20.502,2015-12-22,7ylq89xz,2022-01-01
77,NTSC,1 Lap,Sunny Beach,18.0,GhillieGuide,20.594,2017-05-27,zgnkk5vy,2022-01-01
78,NTSC,1 Lap,Sunny Beach,19.0,andypanther,20.604,2020-07-03,znkeoovz,2022-01-01
79,NTSC,1 Lap,Sunny Beach,20.0,GooglyEyes,20.638,2019-06-06,y6l7v0jy,2022-01-01
80,NTSC,1 Lap,Sunny Beach,21.0,dosufura,20.641,2021-09-09,y93lqevy,2022-01-01
81,NTSC,1 Lap,Sunny Beach,22.0,th3ch0s3n0n3,20.652,2021-04-13,zn1wn2vm,2022-01-01
82,NTSC,1 Lap,Sunny Beach,23.0,CD_84,20.684,2020-12-30,m3g8xx6z,2022-01-01
83,NTSC,1 Lap,Sunny Beach,24.0,HeroProc,20.722,2017-01-07,nz1083jm,2022-01-01
84,NTSC,1 Lap,Sunny Beach,25.0,Bace,20.724,2018-01-07,yl9lp9ky,2022-01-01
85,NTSC,1 Lap,Sunny Beach,26.0,Maple_Hood,20.757,2014-03-08,9me3442z,2022-01-01
86,NTSC,1 Lap,Sunny Beach,27.0,grimya,20.76,2017-01-04,8yv5k44m,2022-01-01
87,NTSC,1 Lap,Sunny Beach,28.0,RSR,20.763,2018-07-05,y2qq40jy,2022-01-01
88,NTSC,1 Lap,Sunny Beach,29.0,fed338,20.787,2017-12-18,yvgp8o8y,2022-01-01
89,NTSC,1 Lap,Sunny Beach,30.0,Caseywho,20.806,2018-11-13,y89xwqnm,2022-01-01
90,NTSC,1 Lap,Sunny Beach,31.0,AdomHaMez,20.808,2021-09-24,m772v6wm,2022-01-01
91,NTSC,1 Lap,Sunny Beach,32.0,Speedruntrainer,20.883,2015-11-15,7ylr35ry,2022-01-01
92,NTSC,1 Lap,Sunny Beach,33.0,boynafe,20.921,2020-02-04,mexplv3z,2022-01-01
93,NTSC,1 Lap,Sunny Beach,34.0,FPScanada,21.031,2019-04-07,yl4w1v2m,2022-01-01
94,NTSC,1 Lap,Sunny Beach,35.0,VerociousVee,21.45,2020-03-26,z5j5vegm,2022-01-01
95,NTSC,1 Lap,Sunny Beach,36.0,hotelmario69,21.575,2018-01-03,zpqp2wry,2022-01-01
96,NTSC,1 Lap,Sunny Beach,37.0,Mahrla,24.645,2011-05-26,z0e2q44m,2022-01-01
97,NTSC,1 Lap,Sunny Beach,38.0,Ipsum86,24.708,2019-10-12,z01lw5jy,2022-01-01
98,NTSC,1 Lap,Sunny Beach,39.0,JimB,24.993,2019-07-07,mk234o5m,2022-01-01
99,NTSC,1 Lap,Sunny Beach,40.0,DJ-Cat,25.011,2020-06-18,yw869g0y,2022-01-01
100,NTSC,1 Lap,Sunny Beach,41.0,R-J-Clapham,25.033,2019-11-19,mexlel2z,2022-01-01
101,NTSC,1 Lap,Sunny Beach,42.0,Recurv2,25.088,2021-02-06,yw0q3e9m,2022-01-01
102,NTSC,1 Lap,Sunny Beach,43.0,PuggyWuggy,25.089,2020-12-28,yd0o730z,2022-01-01
103,NTSC,1 Lap,Sunny Beach,44.0,MortimerNova,26.01,2020-09-08,mr9jlwdm,2022-01-01
104,NTSC,Reverse,Sunny Beach,1.0,doctorfeesh,65.337,2020-05-21,z098xxoz,2022-01-01
105,NTSC,Reverse,Sunny Beach,2.0,Shibbypod,65.454,2019-10-03,m313qwgz,2022-01-01
106,NTSC,Reverse,Sunny Beach,3.0,Game,65.844,2018-07-07,mr8eq24y,2022-01-01
107,NTSC,Reverse,Sunny Beach,4.0,MDK1,65.939,2021-12-11,y203l3wm,2022-01-01
108,NTSC,Reverse,Sunny Beach,5.0,MyOhMyPancakes,65.972,2020-09-19,y8r916dm,2022-01-01
109,NTSC,Reverse,Sunny Beach,6.0,the_androgyne,66.216,2018-06-26,yl44krnm,2022-01-01
110,NTSC,Reverse,Sunny Beach,7.0,AS_Money,66.224,2019-07-06,m311p2wz,2022-01-01
111,NTSC,Reverse,Sunny Beach,8.0,MetalHead,66.296,2019-10-11,zqr7l61y,2022-01-01
112,NTSC,Reverse,Sunny Beach,9.0,meauxdal,66.348,2017-12-10,y8q6q7xy,2022-01-01
113,NTSC,Reverse,Sunny Beach,10.0,KoiIroHoshi,66.79,2017-12-22,zpqwj6xy,2022-01-01
114,NTSC,Reverse,Sunny Beach,11.0,quickpersonsIND,66.842,2018-10-17,y43qg83z,2022-01-01
115,NTSC,Reverse,Sunny Beach,12.0,andypanther,66.895,2021-07-18,yderovwm,2022-01-01
116,NTSC,Reverse,Sunny Beach,13.0,GhillieGuide,67.515,2017-02-03,pzg0wxvm,2022-01-01
117,NTSC,Reverse,Sunny Beach,14.0,NickWarner,67.809,2021-06-15,zgg8l8ez,2022-01-01
118,NTSC,Reverse,Sunny Beach,15.0,Bunta,67.946,2018-03-02,y23rxo7m,2022-01-01
119,NTSC,Reverse,Sunny Beach,16.0,Bace,68.605,2018-01-29,m3dj7jwz,2022-01-01
120,NTSC,Reverse,Sunny Beach,17.0,JimB,79.996,2019-06-18,znr4v3ly,2022-01-01
121,NTSC,Reverse,Sunny Beach,18.0,Ipsum86,80.454,2019-10-12,yv3046xz,2022-01-01
122,NTSC,Reverse,Sunny Beach,19.0,Mahrla,80.598,2011-05-26,z0e2qgem,2022-01-01
123,NTSC,Reverse,Sunny Beach,20.0,DJ-Cat,83.09,2020-07-05,z15kp19y,2022-01-01
124,NTSC,Reverse,Sunny Beach,21.0,PuggyWuggy,83.842,2020-12-28,y4ev55qm,2022-01-01
125,NTSC,3 Lap,Sunset Bay,1.0,doctorfeesh,65.006,2019-07-17,m3158p4z,2022-01-01
126,NTSC,3 Lap,Sunset Bay,2.0,Shibbypod,65.073,2017-12-01,y45oox2m,2022-01-01
127,NTSC,3 Lap,Sunset Bay,3.0,Illudude,65.157,2020-07-15,zprxn28m,2022-01-01
128,NTSC,3 Lap,Sunset Bay,4.0,Game,65.219,2019-02-02,znrr12vy,2022-01-01
129,NTSC,3 Lap,Sunset Bay,5.0,MDK1,65.273,2021-11-30,y9lo122y,2022-01-01
130,NTSC,3 Lap,Sunset Bay,6.0,mo_moe,65.367,2017-09-25,m79wpo0y,2022-01-01
131,NTSC,3 Lap,Sunset Bay,7.0,the_androgyne,65.468,2018-07-09,z517725m,2022-01-01
132,NTSC,3 Lap,Sunset Bay,8.0,MyOhMyPancakes,65.669,2020-08-30,znkd1klz,2022-01-01
133,NTSC,3 Lap,Sunset Bay,9.0,meauxdal,65.671,2018-01-05,z13k9vjm,2022-01-01
134,NTSC,3 Lap,Sunset Bay,10.0,AS_Money,65.721,2019-11-23,mrel558y,2022-01-01
135,NTSC,3 Lap,Sunset Bay,11.0,MetalHead,65.723,2019-10-23,yj3de9dz,2022-01-01
136,NTSC,3 Lap,Sunset Bay,12.0,eToast,65.82,2020-07-18,yokxln1z,2022-01-01
137,NTSC,3 Lap,Sunset Bay,13.0,quickpersonsIND,65.821,2019-06-12,zgk77vdy,2022-01-01
138,NTSC,3 Lap,Sunset Bay,14.0,Bert86,65.87,2018-10-07,y6pnnx0m,2022-01-01
139,NTSC,3 Lap,Sunset Bay,15.0,analogism,65.918,2016-01-17,jy9lolny,2022-01-01
140,NTSC,3 Lap,Sunset Bay,16.0,KoiIroHoshi,65.969,2017-06-15,y975eqem,2022-01-01
141,NTSC,3 Lap,Sunset Bay,17.0,bobakanoosh55555,65.972,2020-04-04,zgwne9dy,2022-01-01
142,NTSC,3 Lap,Sunset Bay,18.0,andypanther,66.02,2021-07-30,mk5grovm,2022-01-01
143,NTSC,3 Lap,Sunset Bay,19.0,usamiiin,66.021,2021-04-15,z5ro2q5y,2022-01-01
144,NTSC,3 Lap,Sunset Bay,20.0,GhillieGuide,66.12,2017-03-19,0y6korjz,2022-01-01
145,NTSC,3 Lap,Sunset Bay,21.0,NickWarner,66.47,2021-06-18,z5rgjvdy,2022-01-01
146,NTSC,3 Lap,Sunset Bay,22.0,admiralsmit,66.473,,1zq6wvry,2022-01-01
147,NTSC,3 Lap,Sunset Bay,23.0,RandyOzzY,67.271,2020-03-05,yv3d204z,2022-01-01
148,NTSC,3 Lap,Sunset Bay,24.0,d0ggr,67.52,2019-01-26,y89pj8wm,2022-01-01
149,NTSC,3 Lap,Sunset Bay,25.0,Bace,67.569,2018-01-18,y67vo7pm,2022-01-01
150,NTSC,3 Lap,Sunset Bay,26.0,HighestLevelWizard,67.669,2020-12-08,zgvl9lez,2022-01-01
151,NTSC,3 Lap,Sunset Bay,27.0,RyanWarner,67.771,2020-10-25,ylvqkonm,2022-01-01
152,NTSC,3 Lap,Sunset Bay,28.0,Sonata,67.788,2020-02-09,y81n7d1z,2022-01-01
153,NTSC,3 Lap,Sunset Bay,29.0,PvtCb,67.818,2020-07-26,y4wj0dqm,2022-01-01
154,NTSC,3 Lap,Sunset Bay,30.0,Maple_Hood,67.837,2014-05-21,2yw18k3z,2022-01-01
155,NTSC,3 Lap,Sunset Bay,31.0,dosufura,67.872,2021-09-09,y8ej4g5y,2022-01-01
156,NTSC,3 Lap,Sunset Bay,32.0,nealclay,68.022,2015-01-02,0zn8v23z,2022-01-01
157,NTSC,3 Lap,Sunset Bay,33.0,RSR,68.248,2019-11-07,y956e5nz,2022-01-01
158,NTSC,3 Lap,Sunset Bay,34.0,fed338,68.268,2018-01-17,mekwe1qm,2022-01-01
159,NTSC,3 Lap,Sunset Bay,35.0,th3ch0s3n0n3,68.651,2021-01-12,yd989kxz,2022-01-01
160,NTSC,3 Lap,Sunset Bay,36.0,Trippyc,69.083,2017-09-16,yl9rd6ny,2022-01-01
161,NTSC,3 Lap,Sunset Bay,37.0,AdomHaMez,69.842,2021-09-24,z07nkp4y,2022-01-01
162,NTSC,3 Lap,Sunset Bay,38.0,Speedruntrainer,70.284,2014-10-28,kz57jkdm,2022-01-01
163,NTSC,3 Lap,Sunset Bay,39.0,DeeEddy,70.524,2018-03-22,mrqwk87y,2022-01-01
164,NTSC,3 Lap,Sunset Bay,40.0,FPScanada,76.25,2019-04-07,yl4welkm,2022-01-01
165,NTSC,3 Lap,Sunset Bay,41.0,Mahrla,79.581,2011-05-26,yw1ox90z,2022-01-01
166,NTSC,3 Lap,Sunset Bay,42.0,JimB,80.122,2018-07-14,y2q1ek5y,2022-01-01
167,NTSC,3 Lap,Sunset Bay,43.0,Ipsum86,80.308,2020-05-07,zprlo1nm,2022-01-01
168,NTSC,3 Lap,Sunset Bay,44.0,DJ-Cat,80.967,2020-07-17,zprx47xm,2022-01-01
169,NTSC,3 Lap,Sunset Bay,45.0,PuggyWuggy,81.924,2021-01-01,mr9pk84m,2022-01-01
170,NTSC,3 Lap,Sunset Bay,46.0,Recurv2,83.545,2021-02-01,mk779p3y,2022-01-01
171,NTSC,3 Lap,Sunset Bay,47.0,PasiKienzi,87.506,2021-10-21,m37w544z,2022-01-01
172,NTSC,1 Lap,Sunset Bay,1.0,Shibbypod,19.658,2019-02-02,me8gr79m,2022-01-01
173,NTSC,1 Lap,Sunset Bay,2.0,Illudude,19.698,2018-04-16,z0e44pom,2022-01-01
174,NTSC,1 Lap,Sunset Bay,3.0,Game,19.703,2019-07-15,znrk9o9y,2022-01-01
175,NTSC,1 Lap,Sunset Bay,4.0,doctorfeesh,19.706,2020-07-11,ylkdex3z,2022-01-01
