,Player,Status,Score,Alltime Rank,Current Rank
53,Shibbypod,Active,221.27,1.0,1.0
76,doctorfeesh,Active,194.09,2.0,2.0
12,Game,Active,120.17999999999999,3.0,3.0
26,MDK1,Active,94.53,4.0,4.0
34,MyOhMyPancakes,Active,93.91,5.0,5.0
32,MetalHead,Active,89.56,6.0,6.0
0,AS_Money,Active,76.08,8.0,7.0
19,Illudude,Active,66.94,9.0,8.0
88,meauxdal,Active,63.25,10.0,9.0
68,andypanther,Active,45.15,13.0,10.0
78,eToast,Active,37.68,15.0,11.0
73,bobakanoosh55555,Active,17.71,20.0,12.0
60,VR747_CHALON_Type_a8,Active,15.86,21.0,13.0
35,NickWarner,Active,14.540000000000001,22.0,14.0
64,ZubyDoo77,Active,14.29,23.0,15.0
51,RyanWarner,Active,11.09,24.0,16.0
101,usamiiin,Active,8.1,27.0,17.0
97,th3ch0s3n0n3,Active,7.82,28.0,18.0
16,Hayate1017,Active,7.73,29.0,19.0
45,RSR,Active,6.26,32.0,20.0
77,dosufura,Active,3.99,35.0,21.0
43,PvtCb,Active,3.1500000000000004,38.0,22.0
1,AdomHaMez,Active,2.7,41.0,23.0
100,touhu_dnb,Active,2.54,43.0,24.0
5,CD_84,Active,2.3899999999999997,44.0,25.0
46,RandyOzzY,Active,2.11,48.0,26.0
18,HighestLevelWizard,Active,2.01,50.0,27.0
70,arata0503,Active,1.6,52.0,28.0
54,Sonata,Active,1.43,54.0,29.0
80,gplehner,Active,1.09,58.0,30.0
57,Sysynct,Active,0.76,62.0,31.0
84,irukan,Active,0.51,66.0,32.0
74,boynafe,Active,0.33,71.0,33.0
61,VerociousVee,Active,0.16,76.0,34.0
71,backpain4,Active,0.07,81.0,35.0
47,Recurv2,Active,0.01,85.0,36.0
20,Ipsum86,Active,0.01,85.0,36.0
13,GetLow,Active,0.01,85.0,36.0
7,DJ-Cat,Active,0.0,90.0,39.0
33,MortimerNova,Active,0.0,90.0,39.0
25,Lucehboii,Active,0.0,90.0,39.0
27,MMW,Active,0.0,90.0,39.0
48,RideThatSurf,Active,0.0,90.0,39.0
42,PuggyWuggy,Active,0.0,90.0,39.0
39,PasiKienzi,Active,0.0,90.0,39.0
2,Bace,Inactive,8.38,26.0,
3,Bert86,Inactive,23.19,18.0,
4,Bunta,Inactive,3.54,36.0,
6,Caseywho,Inactive,1.99,51.0,
8,Dangerless,Inactive,0.0,90.0,
9,DeeEddy,Inactive,0.45,69.0,
10,EliminatorJr,Inactive,1.37,55.0,
11,FPScanada,Inactive,0.33,71.0,
14,GhillieGuide,Inactive,32.3,17.0,
15,GooglyEyes,Inactive,2.84,40.0,
17,HeroProc,Inactive,2.87,39.0,
21,JJ,Inactive,0.51,66.0,
22,JimB,Inactive,0.01,85.0,
23,KingSolomon,Inactive,0.12,78.0,
24,KoiIroHoshi,Inactive,44.41,14.0,
28,Mahrla,Inactive,0.0,90.0,
29,Maple_Hood,Inactive,4.88,34.0,
30,MasterLemmon,Inactive,0.03,83.0,
31,MeridianPrime,Inactive,0.0,90.0,
36,Nordicboa,Inactive,0.22999999999999998,75.0,
37,Ohme,Inactive,1.01,59.0,
38,P-Nut91,Inactive,0.38,70.0,
40,Ploflo82,Inactive,0.0,90.0,
41,PokerFacowaty,Inactive,0.01,85.0,
44,R-J-Clapham,Inactive,0.0,90.0,
49,RioPeace,Inactive,1.1400000000000001,57.0,
50,RyanLockwood,Inactive,20.17,19.0,
52,ShibbyWife,Inactive,0.98,60.0,
55,Speedruntrainer,Inactive,2.24,46.0,
56,Superfish3000,Inactive,0.27,74.0,
58,Tetsuo,Inactive,0.66,63.0,
59,Trippyc,Inactive,2.24,46.0,
62,Yagiu,Inactive,0.16,76.0,
63,YoBGS,Inactive,0.03,83.0,
65,_LOG_cAbiN,Inactive,0.09,79.0,
66,admiralsmit,Inactive,10.84,25.0,
67,analogism,Inactive,35.25,16.0,
69,anglakey,Inactive,0.0,90.0,
72,bendswithy,Inactive,0.33,71.0,
75,d0ggr,Inactive,2.34,45.0,
79,fed338,Inactive,3.2,37.0,
81,grimya,Inactive,0.8200000000000001,61.0,
82,hokorobi,Inactive,1.19,56.0,
83,hotelmario69,Inactive,0.05,82.0,
85,kazey77,Inactive,1.46,53.0,
86,kidnomor,Inactive,0.49,68.0,
87,kirch,Inactive,5.74,33.0,
89,misuken,Inactive,7.45,30.0,
90,mo_moe,Inactive,84.92999999999999,7.0,
91,mrpitchy,Inactive,6.29,31.0,
92,nealclay,Inactive,2.58,42.0,
93,piddythebat,Inactive,0.54,65.0,
94,quickpersonsIND,Inactive,51.74,11.0,
95,raybc123,Inactive,0.59,64.0,
96,starcrytas,Inactive,0.09,79.0,
98,the_androgyne,Inactive,49.86,12.0,
99,timtamz91,Inactive,2.02,49.0,
