,Player,Status,Score,dS,Alltime Rank,Current Rank
54,Shibbypod,Active,220.76,-0.5099999999999989,1.0,1.0
78,doctorfeesh,Active,195.0,0.9100000000000019,2.0,2.0
12,Game,Active,118.54,-1.6399999999999992,3.0,3.0
35,MyOhMyPancakes,Active,93.69,-0.22000000000000086,4.0,4.0
27,MDK1,Active,93.14999999999999,-1.3800000000000003,5.0,5.0
33,MetalHead,Active,88.17,-1.3900000000000012,6.0,6.0
0,AS_Money,Active,74.52,-1.560000000000001,8.0,7.0
19,Illudude,Active,66.46,-0.48000000000000065,9.0,8.0
91,meauxdal,Active,61.7,-1.5499999999999992,10.0,9.0
16,Hayate1017,Active,59.160000000000004,51.43,11.0,10.0
100,telfus,Active,55.93,,12.0,11.0
70,andypanther,Active,43.58,-1.5700000000000007,15.0,12.0
80,eToast,Active,36.13,-1.5499999999999998,17.0,13.0
75,bobakanoosh55555,Active,16.95,-0.7600000000000007,22.0,14.0
62,VR747_CHALON_Type_a8,Active,16.72,0.8600000000000003,23.0,15.0
36,NickWarner,Active,14.04,-0.5000000000000008,24.0,16.0
66,ZubyDoo77,Active,13.83,-0.4600000000000004,25.0,17.0
52,RyanWarner,Active,10.88,-0.20999999999999952,26.0,18.0
105,usamiiin,Active,7.51,-0.5899999999999999,29.0,19.0
101,th3ch0s3n0n3,Active,7.46,-0.35999999999999965,30.0,20.0
46,RSR,Active,5.86,-0.39999999999999986,32.0,21.0
60,TheBruteDream,Active,4.59,,35.0,22.0
79,dosufura,Active,3.64,-0.3500000000000001,37.0,23.0
44,PvtCb,Active,2.87,-0.2800000000000002,39.0,24.0
1,AdomHaMez,Active,2.39,-0.3100000000000001,43.0,25.0
5,CD_84,Active,2.34,-0.04999999999999982,45.0,26.0
104,touhu_dnb,Active,2.3,-0.2400000000000002,46.0,27.0
18,HighestLevelWizard,Active,1.7200000000000002,-0.2899999999999999,52.0,28.0
72,arata0503,Active,1.36,-0.24,54.0,29.0
106,xepsilon64,Active,1.1500000000000001,,57.0,30.0
82,gplehner,Active,1.06,-0.03000000000000004,58.0,31.0
22,JazzBRB,Active,0.97,,60.0,32.0
58,Sysynct,Active,0.72,-0.040000000000000036,66.0,33.0
86,irukan,Active,0.49,-0.020000000000000018,70.0,34.0
73,backpain4,Active,0.04,-0.030000000000000006,86.0,35.0
23,JimB,Active,0.02,0.01,87.0,36.0
7,DJ-Cat,Active,0.0,0.0,91.0,37.0
13,GetLow,Active,0.0,-0.01,91.0,37.0
20,Ipsum86,Active,0.0,-0.01,91.0,37.0
87,kattsai_,Active,0.0,,91.0,37.0
49,RideThatSurf,Active,0.0,0.0,91.0,37.0
28,MMW,Active,0.0,0.0,91.0,37.0
34,MortimerNova,Active,0.0,0.0,91.0,37.0
40,PasiKienzi,Active,0.0,0.0,91.0,37.0
43,PuggyWuggy,Active,0.0,0.0,91.0,37.0
26,Lucehboii,Active,0.0,0.0,91.0,37.0
48,Recurv2,Active,0.0,-0.01,91.0,37.0
2,Bace,Inactive,7.640000000000001,-0.74,28.0,
3,Bert86,Inactive,21.990000000000002,-1.1999999999999997,20.0,
4,Bunta,Inactive,2.67,-0.8700000000000001,41.0,
6,Caseywho,Inactive,1.94,-0.050000000000000044,50.0,
8,Dangerless,Inactive,0.01,0.01,88.0,
9,DeeEddy,Inactive,0.39,-0.06,71.0,
10,EliminatorJr,Inactive,1.33,-0.040000000000000036,55.0,
11,FPScanada,Inactive,0.33,0.0,75.0,
14,GhillieGuide,Inactive,30.86,-1.4399999999999993,19.0,
15,GooglyEyes,Inactive,2.79,-0.050000000000000044,40.0,
17,HeroProc,Inactive,2.65,-0.22000000000000008,42.0,
21,JJ,Inactive,0.37,-0.14,72.0,
24,KingSolomon,Inactive,0.11,-0.009999999999999995,82.0,
25,KoiIroHoshi,Inactive,42.33,-2.08,16.0,
29,Mahrla,Inactive,0.0,0.0,91.0,
30,Maple_Hood,Inactive,4.54,-0.3400000000000002,36.0,
31,MasterLemmon,Inactive,0.01,-0.019999999999999997,88.0,
32,MeridianPrime,Inactive,0.0,0.0,91.0,
37,Nordicboa,Inactive,0.14,-0.09,81.0,
38,Ohme,Inactive,0.97,-0.040000000000000036,60.0,
39,P-Nut91,Inactive,0.36,-0.020000000000000018,73.0,
41,Ploflo82,Inactive,0.0,0.0,91.0,
42,PokerFacowaty,Inactive,0.0,-0.01,91.0,
45,R-J-Clapham,Inactive,0.0,0.0,91.0,
47,RandyOzzY,Inactive,1.9500000000000002,-0.15999999999999992,49.0,
50,RioPeace,Inactive,0.97,-0.1700000000000001,60.0,
51,RyanLockwood,Inactive,19.56,-0.6100000000000012,21.0,
53,ShibbyWife,Inactive,0.94,-0.040000000000000036,64.0,
55,Sonata,Inactive,1.29,-0.1399999999999999,56.0,
56,Speedruntrainer,Inactive,1.99,-0.25,47.0,
57,Superfish3000,Inactive,0.18,-0.09000000000000002,79.0,
59,Tetsuo,Inactive,0.63,-0.030000000000000027,67.0,
61,Trippyc,Inactive,1.9,-0.3400000000000001,51.0,
