,Region,Category,Level,Place,Player,Time,Run Date,ID,Date,4th Time,Championship Score,Medal Score,Run Score,dTIME,dRUNSCORE
0,NTSC,RTA,Championship Normal,1,Shibbypod,561.0,2017-11-09,zxv8grqy,2022-04-01,566.0,2.0,3.0,5.0,0.0,0.0
1,NTSC,RTA,Championship Normal,2,doctorfeesh,562.0,2021-03-21,y42026nm,2022-04-01,566.0,1.99,2.4,4.39,0.0,0.0
2,NTSC,RTA,Championship Normal,3,MDK1,564.0,2021-12-03,y6n3en0z,2022-04-01,566.0,1.98,1.2,3.18,0.0,0.0
3,NTSC,RTA,Championship Normal,4,MetalHead,566.0,2019-12-23,m3102oqz,2022-04-01,566.0,1.97,0.0,1.97,0.0,0.0
4,NTSC,RTA,Championship Normal,4,VR747_CHALON_Type_a8,566.0,2021-11-16,me45wl2y,2022-04-01,566.0,1.97,0.0,1.97,0.0,0.0
5,NTSC,RTA,Championship Normal,5,MyOhMyPancakes,567.0,2019-08-29,z57d3vjm,2022-04-01,566.0,1.96,0.0,1.96,0.0,0.0
6,NTSC,RTA,Championship Normal,5,AS_Money,567.0,2019-09-21,y210n3jz,2022-04-01,566.0,1.96,0.0,1.96,0.0,0.0
7,NTSC,RTA,Championship Normal,5,quickpersonsIND,567.0,2019-09-30,mre74g2y,2022-04-01,566.0,1.96,0.0,1.96,0.0,0.0
8,NTSC,RTA,Championship Normal,6,meauxdal,576.0,2017-10-25,yw13n8pz,2022-04-01,566.0,1.9,0.0,1.9,0.0,0.0
9,NTSC,RTA,Championship Normal,7,touhu_dnb,577.0,2021-10-16,m37jgvwz,2022-04-01,566.0,1.89,0.0,1.89,0.0,0.0
10,NTSC,RTA,Championship Normal,7,telfus,577.0,2022-03-06,m7wvxlwz,2022-04-01,566.0,1.89,0.0,1.89,,
11,NTSC,RTA,Championship Normal,8,kirch,581.0,2019-07-02,y955kqez,2022-04-01,566.0,1.87,0.0,1.87,0.0,0.0
12,NTSC,RTA,Championship Normal,8,andypanther,581.0,2020-07-02,zprp3lvm,2022-04-01,566.0,1.87,0.0,1.87,0.0,0.0
13,NTSC,RTA,Championship Normal,9,KoiIroHoshi,583.0,2017-06-27,mekojk8m,2022-04-01,566.0,1.85,0.0,1.85,0.0,0.0
14,NTSC,RTA,Championship Normal,10,ZubyDoo77,585.0,2020-11-09,y2d0ld7z,2022-04-01,566.0,1.84,0.0,1.84,0.0,0.0
15,NTSC,RTA,Championship Normal,11,GhillieGuide,587.0,2017-02-12,1zxrj15z,2022-04-01,566.0,1.83,0.0,1.83,0.0,0.0
16,NTSC,RTA,Championship Normal,12,arata0503,588.0,2021-09-09,mrn6g27y,2022-04-01,566.0,1.82,0.0,1.82,0.0,0.0
17,NTSC,RTA,Championship Normal,13,dosufura,589.0,2021-10-14,me4gvv2y,2022-04-01,566.0,1.82,0.0,1.82,0.0,0.0
18,NTSC,RTA,Championship Normal,14,hokorobi,595.0,2018-01-23,y67v19pm,2022-04-01,566.0,1.78,0.0,1.78,0.0,0.0
19,NTSC,RTA,Championship Normal,15,TheBruteDream,596.0,2022-01-13,mej4dk0y,2022-04-01,566.0,1.77,0.0,1.77,,
20,NTSC,RTA,Championship Normal,16,JazzBRB,597.0,2022-03-01,z5vwd4gm,2022-04-01,566.0,1.76,0.0,1.76,,
