,Region,Category,Level,Place,Player,Time,Run Date,ID,Date,tWR,dtWR,dtMedian,Score,dT,dS
0,NTSC,3 Lap,Sunny Beach,1.0,Shibbypod,63.186,2017-12-01,y67o220m,2022-04-01,63.186,0.0,1.6879999999999953,10.0,0.0,0.0
1,NTSC,3 Lap,Sunny Beach,2.0,MDK1,63.273,2021-12-11,z5voqwdm,2022-04-01,63.186,0.0870000000000033,1.6879999999999953,9.12,0.0,-0.010000000000001563
2,NTSC,3 Lap,Sunny Beach,3.0,MetalHead,63.304,2019-10-25,m7qxj5wz,2022-04-01,63.186,0.1180000000000021,1.6879999999999953,8.82,0.0,-0.019999999999999574
3,NTSC,3 Lap,Sunny Beach,4.0,RyanLockwood,63.326,2015-11-05,7z0r289z,2022-04-01,63.186,0.14000000000000057,1.6879999999999953,8.62,5.551115123125783e-17,-0.02000000000000135
4,NTSC,3 Lap,Sunny Beach,5.0,doctorfeesh,63.358,2020-12-29,mk8x2p1m,2022-04-01,63.186,0.17199999999999704,1.6879999999999953,8.33,5.551115123125783e-17,-0.02999999999999936
5,NTSC,3 Lap,Sunny Beach,6.0,mo_moe,63.456,2017-09-22,mrqng5gy,2022-04-01,63.186,0.2700000000000031,1.6879999999999953,7.51,0.0,-0.03000000000000025
6,NTSC,3 Lap,Sunny Beach,7.0,Hayate1017,63.549,2022-02-08,yvqvqwem,2022-04-01,63.186,0.36299999999999955,1.6879999999999953,6.8,,6.8
7,NTSC,3 Lap,Sunny Beach,8.0,Game,63.56,2019-03-24,y411r63y,2022-04-01,63.186,0.37400000000000233,1.6879999999999953,6.72,5.551115123125783e-17,-0.04999999999999982
8,NTSC,3 Lap,Sunny Beach,9.0,the_androgyne,63.597,2018-06-29,yl44evkm,2022-04-01,63.186,0.41100000000000136,1.6879999999999953,6.46,5.551115123125783e-17,-0.04999999999999982
9,NTSC,3 Lap,Sunny Beach,10.0,eToast,63.715,2020-07-17,yd5lwpwm,2022-04-01,63.186,0.5290000000000035,1.6879999999999953,5.7,0.0,-0.05999999999999961
10,NTSC,3 Lap,Sunny Beach,11.0,meauxdal,63.722,2017-12-03,mekewe2m,2022-04-01,63.186,0.5360000000000014,1.6879999999999953,5.66,0.0,-0.05999999999999961
11,NTSC,3 Lap,Sunny Beach,12.0,misuken,63.763,1999-06-03,8y89q6wm,2022-04-01,63.186,0.5769999999999982,1.6879999999999953,5.42,0.0,-0.0600000000000005
12,NTSC,3 Lap,Sunny Beach,13.0,bobakanoosh55555,63.776,2020-02-06,z1j7nvrz,2022-04-01,63.186,0.5900000000000034,1.6879999999999953,5.35,0.0,-0.05000000000000071
